id,exam,domain,difficulty,question,A,B,C,D,answer,explanation,reference,tags
"SB-352","Study","Domain 4 - Model Construct and Implementation Evaluation","Elite","Firewall rules restrict inbound traffic, but administrators maintain broad outbound access from CUI servers for troubleshooting. Logs are retained but not reviewed. Which issue is best?","Outbound access and monitoring gaps may weaken boundary protection","Inbound filtering alone satisfies boundary protection","Troubleshooting access is automatically temporary","Log retention eliminates communication risk","A","Boundary protection includes controlling and monitoring communications, not only inbound filtering.","Assessment Guide Level 2; NIST SP 800-171 Rev.2","SC|Boundary Protection|Monitoring"
"SB-353","Study","Domain 5 - CMMC Assessment Process","Elite","A control works during a scripted demonstration, but interviews reveal users commonly bypass it during normal operations. What is the best assessment concern?","The script was incomplete","Demonstration evidence may not represent sustained implementation","Interviews should be ignored when testing succeeds","The practice should be marked N/A","B","Assessment conclusions should reflect actual implementation, not staged operation alone.","CAP v5.6.1","CAP|Test|Interview|Implementation"
"SB-354","Study","Domain 4 - Model Construct and Implementation Evaluation","Advanced","An organization scans systems monthly, but high-risk vulnerabilities are repeatedly deferred without documented rationale. Which practice concern is strongest?","Scan frequency only","Flaw remediation governance and risk accountability","Physical protection","Media marking","B","Vulnerability identification must be paired with timely remediation or accountable risk decisions.","Assessment Guide Level 2; NIST SP 800-171 Rev.2","SI|RA|Vulnerability Remediation"
"SB-355","Study","Domain 4 - Model Construct and Implementation Evaluation","Elite","CUI print release requires badge authentication, but users frequently forward documents to a non-CUI conference room printer for convenience. Which answer is best?","Badge release on one printer satisfies the practice","Actual print workflows may expose CUI through uncontrolled media handling","Conference rooms are always Out-of-Scope","This is only an awareness issue","B","Media protection must address actual handling paths for CUI, including paper output.","Assessment Guide Level 2","MP|PE|Paper Media|CUI"
"SB-356","Study","Domain 4 - Model Construct and Implementation Evaluation","Elite","Privileged users have separate admin accounts, but endpoint policies allow those accounts to browse the internet during maintenance windows. Which issue matters most?","Maintenance windows remove privilege concerns","Privileged accounts may be exposed through non-administrative activity","Browser history is sufficient evidence","The concern applies only to remote users","B","Privileged accounts should be limited to authorized administrative functions to reduce exposure.","Assessment Guide Level 2","AC|IA|Privileged Accounts|Least Privilege"
"SB-357","Study","Domain 5 - CMMC Assessment Process","Elite","An assessor finds a gap affecting only one system, but that system is the sole gateway between the CUI enclave and external networks. Which factor matters most?","Number of affected systems","Materiality of the affected system to the practice objective","Whether the system is old","Whether the OSC planned to replace it","B","Materiality depends on impact to the assessed practice and environment, not merely count of affected assets.","CAP v5.6.1; Assessment Guide Level 2","CAP|Materiality|Evidence"
"SB-358","Study","Domain 4 - Model Construct and Implementation Evaluation","Elite","A mobile device management platform enforces encryption, but users can export CUI attachments to unmanaged personal cloud storage. Which concern is strongest?","Encryption is enabled on the device","CUI flow and authorized storage are not adequately controlled","Cloud storage is always prohibited","Mobile devices cannot process CUI","B","Protecting CUI requires controlling where it can flow, be stored, and be accessed.","Assessment Guide Level 2; NIST SP 800-171 Rev.2","AC|MP|CUI Flow|Mobile"
"SB-359","Study","Domain 4 - Model Construct and Implementation Evaluation","Advanced","A server room has cameras and badge access, but no one reviews access events unless an incident is reported. Which issue is most direct?","Cameras replace access review","Monitoring controls may not be operationally effective","Badge access is unnecessary","Incident response owns all physical protection","B","Physical monitoring should support detection of unauthorized activity, not only post-incident review.","Assessment Guide Level 2","PE|Monitoring|Physical Access"
"SB-360","Study","Domain 5 - CMMC Assessment Process","Elite","A team member wants to score a practice MET because the OSC demonstrated a compensating process that appears effective but does not address one stated assessment objective. What is the best response?","Accept the compensating process if management approves","Evaluate whether all applicable objectives are satisfied by sufficient evidence","Score MET if the risk seems low","Mark the objective N/A because compensation exists","B","Practice findings must be supported by sufficient evidence that applicable assessment objectives are met.","CAP v5.6.1; Assessment Guide Level 2","CAP|Assessment Objectives|Evidence Sufficiency"
"SB-361","Study","Domain 4 - Model Construct and Implementation Evaluation","Elite","A privileged access workflow requires approval, MFA, and session recording. However, emergency changes to firewall rules are performed through a separate console that is not integrated with the workflow. Which concern is strongest?","Approval records exist for most privileged sessions","A parallel access path may bypass intended privileged access controls","Firewall rules are technical rather than administrative controls","Session recording is optional during network changes","B","A separate privileged pathway can undermine least privilege, accountability, and boundary protection.","Assessment Guide Level 2; NIST SP 800-171 Rev.2","AC|IA|SC|Privileged Access"
"SB-362","Study","Domain 5 - CMMC Assessment Process","Elite","An OSC provides a current policy and administrator interview supporting least privilege, but sampled access listings show inherited permissions from legacy groups. What should the assessor focus on?","Whether the policy was approved by management","Whether actual access aligns with authorized duties","Whether the administrator understood the policy","Whether the group names are documented","B","Assessment conclusions should be based on actual implementation evidence, not policy intent alone.","CAP v5.6.1; Assessment Guide Level 2","CAP|Evidence|AC|Least Privilege"
"SB-363","Study","Domain 4 - Model Construct and Implementation Evaluation","Elite","A contractor encrypts CUI at rest on endpoints, but users can synchronize project folders to an unmanaged collaboration platform. Which issue is most significant?","Endpoint encryption does not control CUI flow to unauthorized storage","Collaboration platforms are always prohibited","At-rest encryption satisfies all media protection expectations","Users should decide storage location based on business need","A","Protecting CUI requires controlling authorized storage and transmission paths, not only encrypting endpoints.","Assessment Guide Level 2; NIST SP 800-171 Rev.2","AC|MP|SC|CUI Flow"
"SB-364","Study","Domain 6 - Scoping","Elite","An external service provider manages identity federation and conditional access for CUI systems but cannot access CUI content. Which scope treatment is most defensible?","Ignore it because no CUI content is stored","Evaluate it as a service dependency supporting security of CUI Assets","Classify it as Out-of-Scope based only on data storage","Treat it as Specialized because it is cloud-hosted","B","Security services supporting CUI Assets must be considered in scope decisions even if they do not store CUI.","CMMC Assessment Scope Level 2","Scoping|ESP|SPA|Identity"
"SB-365","Study","Domain 4 - Model Construct and Implementation Evaluation","Advanced","Security patches are applied to operating systems within defined timelines, but application-layer vulnerabilities remain open because application owners are outside IT. Which concern is strongest?","Only operating system flaws matter for CMMC","Flaw remediation must address applicable system components, not only IT-owned assets","Application owners are automatically Out-of-Scope","Patch timelines are optional for business applications","B","Flaw remediation should address relevant vulnerabilities across the assessed environment.","Assessment Guide Level 2; NIST SP 800-171 Rev.2","SI|RA|Flaw Remediation"
"SB-366","Study","Domain 4 - Model Construct and Implementation Evaluation","Elite","A CUI enclave uses strong network segmentation, but administrators routinely copy logs to personal workstations for troubleshooting. Which issue is most direct?","Segmentation alone does not protect CUI-related operational data moved outside controlled paths","Logs can never contain sensitive information","Personal workstations are acceptable if administrators are trusted","Troubleshooting activity is outside assessment consideration","A","Actual operational workflows may move sensitive information outside the intended boundary.","Assessment Guide Level 2; CMMC Assessment Scope Level 2","SC|AU|Scope|Boundary"
"SB-367","Study","Domain 5 - CMMC Assessment Process","Elite","During evidence review, assessors find that one business unit uses a separate ticketing system not included in the evidence package. The OSC states the process is equivalent. What is the best next step?","Accept equivalence based on management assertion","Collect sufficient evidence from the separate system or revise sampling rationale","Mark all related practices NOT MET immediately","Ignore the system if it was not in the original evidence list","B","Claims of equivalent implementation require sufficient evidence across the assessed scope.","CAP v5.6.1","CAP|Sampling|Evidence Sufficiency"
"SB-368","Study","Domain 4 - Model Construct and Implementation Evaluation","Elite","A facility requires badges for entry, but temporary contractor badges remain active until the end of each month regardless of work completion. Which issue is most significant?","Badge expiration may not align with authorized access need","Contractors should never receive badges","Monthly badge reports are sufficient","Physical access is only relevant to server rooms","A","Physical access should be limited to authorized personnel and current need.","Assessment Guide Level 2","PE|Physical Access|Authorization"
"SB-369","Study","Domain 4 - Model Construct and Implementation Evaluation","Advanced","A vulnerability scanner excludes encrypted traffic because decryption causes performance issues. Security staff argue that endpoint tools provide coverage. Which answer is best?","Endpoint tools automatically compensate for inspection gaps","The exclusion should be evaluated for residual visibility and detection risk","Encrypted traffic is never inspectable","Performance concerns remove the need for monitoring","B","Blind spots in monitoring or scanning should be justified and evaluated for residual risk.","Assessment Guide Level 2; NIST SP 800-171 Rev.2","SC|SI|Monitoring|Visibility"
"SB-370","Study","Domain 5 - CMMC Assessment Process","Elite","Testing shows MFA works for most privileged users, but one dormant privileged account is excluded from MFA because it is disabled in normal operations. Evidence shows it can be re-enabled without approval. What matters most?","Whether the account is usually dormant","Whether the exception can materially undermine the practice objective","Whether the account has a long password","Whether the account owner remembers creating it","B","Dormant or exceptional accounts may still affect conclusions if they can be used to bypass controls.","CAP v5.6.1; Assessment Guide Level 2","CAP|Materiality|IA|MFA"
"SB-371","Study","Domain 4 - Model Construct and Implementation Evaluation","Elite","A company implements DLP to block CUI leaving email, but CUI can be uploaded to approved cloud storage and shared externally by link. Which concern is strongest?","Email DLP is sufficient because email is the highest-risk path","Approved storage may still permit unauthorized CUI dissemination","External links are acceptable if generated by authenticated users","Cloud storage is automatically Out-of-Scope","B","CUI protection must account for all authorized transmission and sharing paths.","Assessment Guide Level 2; NIST SP 800-171 Rev.2","AC|SC|CUI Flow|DLP"
"SB-372","Study","Domain 6 - Scoping","Elite","A shared virtualization management plane controls both CUI workloads and corporate workloads. The OSC claims corporate workloads are Out-of-Scope because they do not process CUI. Which question is most important?","Whether management-plane compromise could affect CUI Assets","Whether corporate workloads are patched monthly","Whether virtual machines have different hostnames","Whether users know the difference between workloads","A","Shared infrastructure and administrative control paths can affect scoping and separation conclusions.","CMMC Assessment Scope Level 2","Scoping|Virtualization|Shared Infrastructure|Boundary"
"SB-373","Study","Domain 4 - Model Construct and Implementation Evaluation","Advanced","Users must authenticate uniquely to CUI systems, but shared kiosks remain logged in throughout shifts. Which issue is most direct?","Unique login records may not reflect actual user activity","Kiosks are automatically Specialized Assets","Shift work eliminates accountability expectations","Authentication applies only at the start of the day","A","Accountability requires that system activity be attributable to the correct user.","Assessment Guide Level 2","IA|Accountability|Shared Workstations"
"SB-374","Study","Domain 5 - CMMC Assessment Process","Elite","The OSC provides a live demonstration of media sanitization, but no records exist showing the process was used for prior disposals. Which conclusion is best?","The demonstration alone always proves sustained implementation","Assessors should evaluate whether available evidence sufficiently supports implementation over time","The practice is automatically NOT MET","Historical evidence is never relevant","B","Testing can support conclusions, but evidence must be sufficient for the assessed practice and implementation context.","CAP v5.6.1; Assessment Guide Level 2","CAP|Test|Evidence Sufficiency|MP"
"SB-375","Study","Domain 4 - Model Construct and Implementation Evaluation","Elite","Remote access sessions are encrypted and MFA-protected, but administrators can copy CUI from remote sessions to unmanaged local clipboards. Which concern is strongest?","Encryption protects the session but not necessarily downstream CUI handling","MFA prevents all unauthorized disclosure","Clipboard controls are unrelated to CMMC","Remote work automatically makes devices Out-of-Scope","A","Remote access protections must be considered with CUI flow and endpoint handling controls.","Assessment Guide Level 2; NIST SP 800-171 Rev.2","AC|SC|MP|Remote Access"
"SB-376","Study","Domain 4 - Model Construct and Implementation Evaluation","Elite","An OSC uses centralized audit logging, but local administrators can disable audit forwarding during maintenance without generating alerts. Which issue is most significant?","Maintenance windows eliminate audit requirements","Audit protection and failure visibility may be insufficient","Centralized logging is never acceptable","Only security administrators generate audit events","B","Audit mechanisms should be protected from unauthorized changes and failures should be visible.","Assessment Guide Level 2; NIST SP 800-171 Rev.2","AU|SI|Audit Protection"
"SB-377","Study","Domain 5 - CMMC Assessment Process","Elite","A practice appears MET in the main enclave, but the assessment team learns a supporting unit performs the same function using different tooling. What is the best action?","Ignore the supporting unit if it was not sampled first","Determine whether the supporting unit affects scope and collect sufficient evidence if needed","Score the practice MET based on the main enclave","Ask the OSC to remove the supporting unit from diagrams","B","Scope and evidence collection must account for relevant supporting units and implementation variations.","CAP v5.6.1; CMMC Assessment Scope Level 2","CAP|Scope|Supporting Unit|Evidence"
"SB-378","Study","Domain 4 - Model Construct and Implementation Evaluation","Advanced","Portable media is encrypted, inventoried, and approved, but users may connect it to unmanaged vendor laptops during joint troubleshooting. Which risk is most significant?","Authorized media controls may fail when used on uncontrolled endpoints","Encryption always prevents media-borne risk","Vendor laptops are automatically compliant if supervised","Inventory records remove the need for endpoint restrictions","A","Media protection depends on both the media and the systems where it is used.","Assessment Guide Level 2","MP|AC|Vendor Access|Portable Media"
"SB-379","Study","Domain 4 - Model Construct and Implementation Evaluation","Elite","A public website is hosted outside the CUI enclave, but the same administrators manage both the website and CUI systems using shared credentials. Which issue is strongest?","Public websites are never relevant to CMMC","Shared administration may create a pathway affecting scoped systems","Website hosting location determines all risk","Credential reuse is acceptable for administrators","B","Shared credentials and administrative pathways can affect separation and protection of scoped systems.","Assessment Guide Level 2; CMMC Assessment Scope Level 2","AC|IA|SC|Public System Separation"
"SB-380","Study","Domain 5 - CMMC Assessment Process","Elite","The OSC argues a practice should be MET because risk is low and no incidents have occurred. Evidence shows one assessment objective is not implemented. What is the best response?","Low risk can substitute for unmet assessment objectives","Lack of incidents proves effectiveness","Assessment findings must be based on implementation evidence against applicable objectives","The practice should be marked N/A","C","Assessment scoring is based on whether applicable objectives are met with sufficient evidence, not absence of known incidents.","CAP v5.6.1; Assessment Guide Level 2","CAP|Assessment Objectives|MET|Evidence"
"SB-381","Study","Domain 5 - CMMC Assessment Process","Elite","During Phase 2, interviews and policies indicate audit log reviews occur weekly. Sampled tickets show reviews only for firewall alerts, while endpoint and identity logs are not reviewed. Which conclusion is most defensible?","The practice is MET because some audit logs are reviewed","The team should evaluate whether evidence covers the full implementation scope and practice objectives","The practice is automatically N/A for endpoint logs","The interview evidence outweighs sampled tickets","B","Evidence must be sufficient and relevant to the assessed practice across the applicable environment, not limited to a narrow subset.","CAP v5.6.1; Assessment Guide Level 2","CAP|Evidence Sufficiency|Sampling|AU"
"SB-382","Study","Domain 5 - CMMC Assessment Process","Elite","An OSC demonstrates MFA successfully during testing, but the test account was newly created for the assessment and not representative of normal privileged users. What is the best assessment response?","Accept the test because the mechanism worked","Request evidence that the mechanism is implemented for the relevant user population","Mark the practice NOT MET without further review","Treat the test account as stronger evidence than operational records","B","Testing should support conclusions about actual implementation for the applicable users and systems.","CAP v5.6.1; Assessment Guide Level 2","CAP|Testing|Representativeness|IA"
"SB-383","Study","Domain 5 - CMMC Assessment Process","Elite","A control failed during observation. The OSC states the failure was caused by a temporary configuration error corrected immediately after the demonstration. Which factor matters most?","Whether the correction happened before the assessment report was drafted","Whether sufficient evidence shows the practice is implemented and the failure was not representative","Whether management accepts the explanation","Whether the control usually passes in other companies","B","Assessors should base findings on sufficient evidence and determine whether exceptions are material to implementation.","CAP v5.6.1","CAP|Observation|Materiality|Evidence"
"SB-384","Study","Domain 5 - CMMC Assessment Process","Elite","A Lead Assessor receives three screenshots showing compliant settings, but direct observation shows one production system configured differently. The OSC says the system is scheduled for retirement. Which question is most important?","Whether the system remains within scope and active during the assessment","Whether the screenshots were formatted correctly","Whether the retirement plan is approved by finance","Whether the system is unpopular with users","A","Active in-scope systems should be considered when determining implementation, even if retirement is planned.","CAP v5.6.1; CMMC Assessment Scope Level 2","CAP|Scope|Current Evidence|Materiality"
"SB-385","Study","Domain 5 - CMMC Assessment Process","Elite","The OSC provides a policy requiring secure media transport and a contract with a courier. No shipment records or chain-of-custody artifacts are available. Which response is best?","Accept the courier contract as sufficient implementation evidence","Determine whether sufficient operational evidence exists to support implementation","Score MET because the policy states the requirement","Ignore transport because the courier is external","B","Policies and contracts may support intent, but operational evidence is needed to demonstrate implementation.","CAP v5.6.1; Assessment Guide Level 2","CAP|Evidence Sufficiency|MP|Operational Evidence"
"SB-386","Study","Domain 5 - CMMC Assessment Process","Elite","A sampled set of systems shows compliant session lock settings. The OSC excluded shared lab systems from the sample because they are difficult to test during production hours. Which issue deserves greatest scrutiny?","Whether excluded systems affect the assessed scope and sample confidence","Whether testing was inconvenient","Whether lab systems use the same monitors","Whether users received training slides","A","Sampling exclusions must not undermine confidence that conclusions apply across the assessed environment.","CAP v5.6.1; Assessment Guide Level 2","CAP|Sampling|Scope|AC"
"SB-387","Study","Domain 5 - CMMC Assessment Process","Elite","An interviewee states that vulnerability remediation is risk-prioritized. Evidence shows several critical vulnerabilities deferred for business reasons with no documented acceptance or mitigation. Which concern is strongest?","Risk prioritization is not allowed","The evidence may not support accountable remediation decisions","Business reasons automatically justify deferral","Critical vulnerabilities are outside CMMC scoring","B","Assessment conclusions should consider whether remediation decisions are documented, justified, and supported by evidence.","CAP v5.6.1; Assessment Guide Level 2","CAP|Evidence|SI|RA|Remediation"
"SB-388","Study","Domain 5 - CMMC Assessment Process","Elite","During Phase 1, the OSC submits a proposed scope that excludes a shared identity platform. During Phase 2, testing shows the platform authenticates all users to CUI systems. What is the best action?","Continue using the original scope without change","Reevaluate scope assumptions and collect evidence as necessary","Ignore the identity platform because it stores no CUI","Delay all findings until Phase 4","B","Scope validation and evidence collection should reflect actual dependencies supporting CUI Assets.","CAP v5.6.1; CMMC Assessment Scope Level 2","CAP|Scope Validation|SPA|Identity"
"SB-389","Study","Domain 5 - CMMC Assessment Process","Elite","A team member argues that because a weakness affects only one administrator, it should not influence the practice result. That administrator has unrestricted privileged access to CUI systems. Which factor is most important?","The number of affected users","The materiality of the user's role and access","Whether the administrator is experienced","Whether the account name follows policy","B","Materiality depends on impact to the practice objective and environment, not only the count of affected users.","CAP v5.6.1; Assessment Guide Level 2","CAP|Materiality|Privileged Access|IA"
"SB-390","Study","Domain 5 - CMMC Assessment Process","Elite","The OSC provides a current SSP section describing encrypted remote access. Testing confirms VPN encryption, but logs show administrators also use an unmanaged remote support tool. What should assessors do?","Score MET because the approved VPN is encrypted","Evaluate the unmanaged access path against applicable objectives and evidence","Ignore logs because they are not policy documents","Treat the support tool as Out-of-Scope automatically","B","Assessment conclusions should consider actual access paths, not only documented approved methods.","CAP v5.6.1; Assessment Guide Level 2","CAP|Evidence|Remote Access|SC"
"SB-391","Study","Domain 5 - CMMC Assessment Process","Elite","An OSC demonstrates successful account revocation for terminated employees. However, log reviews reveal several contractors retained active accounts for weeks after departure. Which factor should drive the assessment conclusion?","The percentage of accounts affected","Whether the evidence demonstrates consistent implementation across applicable populations","Whether HR documented departures","Whether contractors are less critical than employees","B","Assessment conclusions should be based on implementation evidence across relevant populations, not isolated demonstrations.","CAP v5.6.1; Assessment Guide Level 2","CAP|Evidence Sufficiency|AC|Account Management"
"SB-392","Study","Domain 5 - CMMC Assessment Process","Elite","Policies and interviews indicate removable media are encrypted. Observation reveals engineering teams occasionally exchange unencrypted drives during urgent troubleshooting. What is the most appropriate assessor response?","Accept policy and interview evidence because intent exists","Reconcile contradictory evidence and evaluate the materiality of the observed practice","Ignore the observation because it was informal","Accept engineering explanations without further review","B","Contradictory evidence should be reconciled and material exceptions evaluated objectively.","CAP v5.6.1","CAP|Contradictory Evidence|MP|Materiality"
"SB-393","Study","Domain 5 - CMMC Assessment Process","Elite","Testing confirms MFA on sampled systems, but the OSC excluded several legacy servers because they are scheduled for decommissioning next quarter. Which issue deserves greatest scrutiny?","Future replacement plans","Whether active in-scope systems were excluded from sampling","Whether administrators documented the migration","Whether the servers are virtualized","B","Sampling exclusions should not undermine confidence in assessment conclusions.","CAP v5.6.1; CMMC Assessment Scope Level 2","CAP|Sampling|Scope|IA"
"SB-394","Study","Domain 5 - CMMC Assessment Process","Elite","A control demonstration succeeds, but subsequent interviews reveal personnel rarely follow the documented process outside assessment periods. Which factor is most significant?","Demonstrations outweigh interviews","Actual implementation and operational consistency","Management commitment","Training attendance","B","Actual operational practices are more significant than staged demonstrations.","CAP v5.6.1","CAP|Implementation|Interviews|Testing"
"SB-395","Study","Domain 5 - CMMC Assessment Process","Elite","A business unit maintains separate logging infrastructure not identified during planning. Management states the controls are identical to those already tested. Which action is best?","Accept management assertions","Determine whether additional evidence is necessary to support representative conclusions","Exclude the unit because it was omitted from planning","Delay the assessment until next year","B","Assessment evidence should support conclusions across the assessed scope.","CAP v5.6.1","CAP|Scope|Sampling|Evidence Sufficiency"
"SB-396","Study","Domain 5 - CMMC Assessment Process","Elite","A practice objective is satisfied for all sampled users except a dormant emergency administrator account that can be activated without approval. Which consideration is most important?","Whether the account owner has retired","Whether the exception materially affects the practice objective","Whether the account has MFA configured","Whether the password age exceeds policy","B","Dormant exceptions may still affect conclusions if they provide uncontrolled access paths.","CAP v5.6.1; Assessment Guide Level 2","CAP|Materiality|IA|Emergency Access"
"SB-397","Study","Domain 5 - CMMC Assessment Process","Elite","The OSC provides extensive screenshots captured six months earlier. Testing shows current configurations differ from those screenshots. Which evidence should carry the greatest weight?","Older screenshots because they were archived","Current objective evidence and reconciled findings","Management explanations","Interview notes alone","B","Assessment conclusions should reflect the current assessed environment.","CAP v5.6.1","CAP|Evidence Currency|Testing"
"SB-398","Study","Domain 5 - CMMC Assessment Process","Elite","During evidence review, assessors discover that log retention settings vary across enclaves. One enclave cannot produce historical records due to storage limitations. Which factor matters most?","Storage costs","Whether available evidence is sufficient to support sustained implementation","How long the logs are","Who manages the storage platform","B","Evidence sufficiency depends upon confidence that implementation can be demonstrated over time.","CAP v5.6.1","CAP|Evidence Sufficiency|AU"
"SB-399","Study","Domain 5 - CMMC Assessment Process","Elite","Two assessors disagree on whether a weakness affecting a shared identity provider is significant because no incidents have occurred. Which principle should guide the conclusion?","Likelihood of exploitation","Materiality relative to the practice objective and environment","Operational convenience","Incident history","B","Assessment conclusions should be based on materiality, not absence of incidents.","CAP v5.6.1; Assessment Guide Level 2","CAP|Materiality|Identity"
"SB-400","Study","Domain 5 - CMMC Assessment Process","Elite","A practice appears fully implemented within the primary enclave, but an acquired subsidiary follows different procedures and was omitted because integration is incomplete. Which question is most important?","Whether the subsidiary processes or protects CUI within scope","Whether integration is scheduled","Whether the subsidiary uses the same vendors","Whether personnel received awareness training","A","Scope completeness and evidence relevance are essential to assessment confidence.","CAP v5.6.1; CMMC Assessment Scope Level 2","CAP|Scope|Sampling|Coverage"
"SB-401","Study","Domain 5 - CMMC Assessment Process","Elite","During Phase 2 testing, administrators demonstrate successful media sanitization procedures. Historical disposal records, however, show multiple instances where media were transferred to third parties without documented destruction. Which factor should most influence the finding?","The current demonstration because it reflects present capability","Whether sufficient evidence exists that the practice was implemented consistently during the assessment period","Whether the third party was under contract","Whether encryption was used before transfer","B","Assessment conclusions should reflect sufficient evidence of sustained implementation, not isolated demonstrations.","CAP v5.6.1; Assessment Guide Level 2","CAP|Evidence Sufficiency|MP|Historical Evidence"
"SB-402","Study","Domain 5 - CMMC Assessment Process","Elite","An assessor receives identical screenshots from two different business units. Metadata indicates both images originated from the same system. Management states configurations are standardized. What should the team do?","Accept the screenshots because standardization exists","Determine whether evidence sufficiently represents each applicable environment","Ignore metadata because screenshots are secondary evidence","Mark the practice NOT MET immediately","B","Evidence should support conclusions across the applicable assessment scope.","CAP v5.6.1","CAP|Evidence Integrity|Sampling"
"SB-403","Study","Domain 5 - CMMC Assessment Process","Elite","An OSC states a separate enclave inherits vulnerability management from corporate IT. Interviews support the statement, but no evidence demonstrates scans or remediation activities for the enclave itself. Which issue deserves greatest scrutiny?","Corporate ownership of infrastructure","Whether inherited controls are supported by sufficient evidence","The age of the enclave","Patch cadence for workstations","B","Inherited controls require evidence showing they are applicable and operational for the assessed assets.","CAP v5.6.1; Assessment Guide Level 2","CAP|Inherited Controls|Evidence Sufficiency"
